state, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
Andhra Pradesh,63.5,63.7,64.1,64.4,65.1,65.6,66.3,67.1,67.5,67.8,68.0,68.1,67.9,68.2,68.6,69.4,70.4,70.8,71.2,71.4,71.2,71.4,71.8
Assam,57.1,57.4,57.6,57.7,57.9,58.9,59.2,59.6,60.3,61.1,61.3,62.3,62.9,63.2,63.6,64.8,65.1,65.5,66.2,66.8,67.3,67.9,68.3
Bihar,58.4,58.7,58.9,59.9,61.3,62.5,63.4,63.9,64.1,64.3,64.4,64.7,65.3,66.2,66.8,67.6,68.0,68.4,68.3,68.5,68.6,68.7,68.8
Chhattisgarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.3,66.8,68.5,66.6,66.6,66.9
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.7,75.4,68.5,76.3,77.0,77.5
Gujarat,62.9,63.3,65.6,65.8,66.3,66.7,67.2,67.6,67.8,68.0,68.3,68.7,68.7,69.0,69.6,70.1,70.5,71.0,71.6,68.5,72.0,72.3,72.8
Haryana,64.6,64.8,64.1,64.7,65.3,65.9,67.2,67.8,68.2,68.8,69.3,69.0,69.2,69.5,69.8,70.1,70.9,71.3,71.9,68.5,72.3,72.3,72.6
Himachal Pradesh,65.2,65.5,67.7,68.3,69.4,70.2,71.4,72.0,71.8,72.0,72.2,72.1,72.0,72.4,72.3,72.7,73.1,74.1,75.2,68.5,75.6,76.8,77.1
Jammu & Kashmir,-,-,-,-,-,67.3,68.0,68.9,69.9,71.0,70.8,70.6,71.2,71.1,71.9,72.4,74.0,74.9,76.1,68.5,76.7,76.2,76.1
Jharkhand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.9,67.5,68.5,68.4,68.5,68.8
Karnataka,64.9,65.3,66.2,66.7,67.1,67.7,68.0,68.6,68.5,68.8,69.0,69.2,69.2,69.7,70.0,70.3,70.8,70.8,70.9,68.5,70.8,70.9,71.3
Kerala,75.9,76.0,74.9,74.7,74.8,74.9,75.3,76.1,76.7,76.9,77.0,77.4,77.2,76.9,77.3,77.7,77.8,77.8,78.2,68.5,77.8,77.9,78.0
Madhya Pradesh,55.2,55.7,57.1,57.6,58.0,58.6,59.4,60.0,60.5,61.2,61.8,62.7,63.1,63.8,64.5,65.0,65.5,66.0,66.5,68.5,67.9,68.5,69.1
Maharashtra,66.6,66.8,67.3,67.8,67.9,68.1,68.6,69.2,69.7,70.4,71.0,71.6,71.9,71.9,72.4,72.9,73.4,73.6,73.9,68.5,73.9,73.8,74.0
Odisha,57.0,57.5,58.6,58.8,59.2,59.9,60.7,61.5,62.1,62.4,62.8,63.0,63.4,63.9,64.5,65.3,65.9,67.1,68.3,68.5,69.9,70.8,71.1
Punjab,68.8,69.0,67.8,67.7,68.0,68.3,68.9,69.5,70.2,70.6,70.9,71.1,71.4,71.6,72.2,72.9,73.4,73.8,74.2,68.5,74.0,74.8,74.7
Rajasthan,60.1,60.4,63.1,63.5,64.3,64.9,65.5,65.6,66.0,66.5,67.0,67.4,67.8,68.3,68.7,69.4,70.0,70.2,70.4,68.5,70.9,71.6,71.3
Tamil Nadu,65.1,65.5,65.9,66.2,66.7,67.2,67.6,68.2,65.7,69.2,69.6,70.1,70.6,70.9,71.4,71.9,72.3,72.7,73.0,68.5,73.7,74.2,74.9
Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70.2,71.1
Uttar Pradesh,56.9,57.3,58.6,58.7,59.0,59.4,60.2,60.7,61.6,61.6,62.2,62.6,63.1,63.7,64.2,64.8,65.2,65.4,65.6,68.5,65.6,65.8,66.2
Uttarakhand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.5,74.9,68.5,74.2,74.3,73.9
West Bengal,63.6,63.9,65.0,65.7,66.4,67.0,67.8,68.5,68.9,69.6,70.0,70.3,70.6,71.0,71.3,71.5,71.6,71.6,71.8,68.5,72.2,72.6,73.2
ALL INDIA,61.8,63.2,62.4,62.7,63.3,64.0,64.6,65.2,65.6,66.1,66.5,66.9,67.2,67.7,68.2,68.8,69.3,69.6,70.0,68.5,70.4,70.7,71.1
